TIP_ID,REPORT_DATE,REPORTER_TYPE,CASE_TYPE_ALLEGED,SUBJECT_DESCRIPTION,REGION,STATUS,LINKED_CASE_ID,URGENCY
TIP-2024-20001,2025-10-29,Provider,Network_Abuse,Provider steering Medica patients to specific DME supplier with unusually high prices,Southeast MN,New,,Standard
TIP-2024-20002,2024-10-12,Anonymous,Network_Abuse,Pattern of referrals between two providers suggests potential kickback arrangement,Southeast MN,New,,Standard
TIP-2024-20003,2024-12-27,Member,Member_FWA,Individual using multiple member IDs to receive overlapping benefits across plan types,Southwest MN,Assigned_to_Case,SIU-2024-10293,Standard
TIP-2024-20004,2024-05-27,Provider,Member_FWA,Member filing claims for services allegedly received while out of state for extended period,Twin Cities Metro,Assigned_to_Case,SIU-2024-10194,Standard
TIP-2024-20005,2025-09-06,External_Agency,Provider_FWA,Provider appears to be billing 99215 office visits for routine checkups that should be coded as 99213,Southeast MN,New,,Standard
TIP-2024-20006,2023-07-28,Member,Provider_FWA,Physician billing for extended office visits averaging 45 minutes when peers average 15 minutes,Twin Cities Metro,Assigned_to_Case,SIU-2024-10183,Standard
TIP-2024-20007,2024-04-08,Anonymous,Provider_FWA,Multiple claims from same provider for identical procedures on same patient same day,Southeast MN,Duplicate,,Immediate
TIP-2024-20008,2024-08-06,External_Agency,Provider_FWA,Provider appears to be billing 99215 office visits for routine checkups that should be coded as 99213,Southeast MN,New,,Standard
TIP-2024-20009,2024-06-21,External_Agency,Member_FWA,Member filing claims for services allegedly received while out of state for extended period,Twin Cities Metro,Assigned_to_Case,SIU-2024-10012,Low
TIP-2024-20010,2024-10-27,Provider,Provider_FWA,Office consistently billing modifier 25 on every E/M visit to increase reimbursement,Twin Cities Metro,Assigned_to_Case,SIU-2024-10106,Standard
TIP-2024-20011,2025-08-15,Anonymous,Provider_FWA,Multiple claims from same provider for identical procedures on same patient same day,Twin Cities Metro,Assigned_to_Case,SIU-2024-10255,Standard
TIP-2024-20012,2024-07-16,Member,Pharmacy_Fraud,Store filling early refills on schedule II controlled substances beyond allowable limits,Twin Cities Metro,New,,Low
TIP-2024-20013,2025-01-01,External_Agency,Member_FWA,Suspect member is using deceased spouse's insurance card to fill prescriptions,Central MN,Assigned_to_Case,SIU-2024-10173,Standard
TIP-2024-20014,2024-10-29,Provider,Member_FWA,Individual presenting different identification at multiple clinics in Rochester area,Twin Cities Metro,New,,Low
TIP-2024-20015,2025-07-21,External_Agency,Member_FWA,Person obtaining duplicate prescriptions for pain medications from multiple physicians,Twin Cities Metro,Assigned_to_Case,SIU-2024-10264,Standard
TIP-2024-20016,2024-01-05,Employee,Provider_FWA,Provider appears to be billing 99215 office visits for routine checkups that should be coded as 99213,Southwest MN,Assigned_to_Case,SIU-2024-10096,Standard
TIP-2024-20017,2024-12-31,Anonymous,Provider_FWA,Provider submitting claims for high-complexity procedures on simple diagnosis codes,Central MN,Dismissed,,Low
TIP-2024-20018,2025-07-23,Provider,Member_FWA,Person obtaining duplicate prescriptions for pain medications from multiple physicians,Southeast MN,Under_Review,,Standard
TIP-2024-20019,2023-12-26,Employee,Pharmacy_Fraud,Pharmacy billing for brand name medications but dispensing generics to patients,Twin Cities Metro,Dismissed,,Immediate
TIP-2024-20020,2024-07-20,Member,Provider_FWA,Multiple claims from same provider for identical procedures on same patient same day,Southwest MN,Under_Review,,Standard
TIP-2024-20021,2024-10-10,External_Agency,Provider_FWA,Provider consistently billing for services on dates when the clinic was closed,Twin Cities Metro,Dismissed,,Standard
TIP-2024-20022,2023-10-18,Anonymous,Network_Abuse,Provider steering Medica patients to specific DME supplier with unusually high prices,Southwest MN,New,,Standard
TIP-2024-20023,2025-06-09,Employee,Provider_FWA,Multiple claims from same provider for identical procedures on same patient same day,Southwest MN,Under_Review,,Low
TIP-2024-20024,2025-11-04,Anonymous,Pharmacy_Fraud,Pharmacy dispensing unusually high volumes of Ozempic pens compared to similar sized stores in the area,Northeast MN,New,,Standard
TIP-2024-20025,2025-10-07,Member,Network_Abuse,Provider steering Medica patients to specific DME supplier with unusually high prices,Northeast MN,Assigned_to_Case,SIU-2024-10047,Standard
TIP-2024-20026,2025-09-26,External_Agency,Provider_FWA,Office consistently billing modifier 25 on every E/M visit to increase reimbursement,Central MN,Duplicate,,Standard
TIP-2024-20027,2023-10-04,Provider,Network_Abuse,Clinic referring all specialty cases to single out-of-network provider group,Twin Cities Metro,Dismissed,,Standard
TIP-2024-20028,2024-08-07,Member,Provider_FWA,Office consistently billing modifier 25 on every E/M visit to increase reimbursement,Central MN,Dismissed,,Standard
TIP-2024-20029,2025-10-31,External_Agency,Provider_FWA,Same provider billing for 28 patient visits on a single day which seems physically impossible,Twin Cities Metro,Under_Review,,Standard
TIP-2024-20030,2024-08-07,Employee,Provider_FWA,Provider submitting claims for high-complexity procedures on simple diagnosis codes,Twin Cities Metro,Duplicate,,Standard
TIP-2024-20031,2025-06-02,Provider,Pharmacy_Fraud,Pharmacy dispensing quantities significantly higher than prescribed amounts on multiple claims,Northeast MN,Duplicate,,Standard
TIP-2024-20032,2025-06-27,Anonymous,Pharmacy_Fraud,Pharmacy dispensing unusually high volumes of Ozempic pens compared to similar sized stores in the area,Southwest MN,Duplicate,,Immediate
TIP-2024-20033,2025-05-18,Provider,Pharmacy_Fraud,Store filling early refills on schedule II controlled substances beyond allowable limits,Twin Cities Metro,Under_Review,,Standard
TIP-2024-20034,2023-06-09,Employee,Network_Abuse,Provider appears to be routing patients to out-of-network lab facility owned by family member,Southeast MN,Under_Review,,Standard
TIP-2024-20035,2024-03-31,Member,Network_Abuse,Physician consistently referring patients to own imaging center despite closer in-network options,Twin Cities Metro,Duplicate,,Low
TIP-2024-20036,2024-03-07,Anonymous,Network_Abuse,Pattern of referrals between two providers suggests potential kickback arrangement,Northeast MN,Assigned_to_Case,SIU-2024-10209,Low
TIP-2024-20037,2025-11-14,Anonymous,Pharmacy_Fraud,Unusual pattern of patients traveling long distances to use this specific pharmacy for controlled substances,Southeast MN,Assigned_to_Case,SIU-2024-10171,Standard
